

Aaron亚伦	Aaron	ron亚伦
Audrey欧蕊	Audrey	drey欧蕊
August奥古斯特	August	st奥古斯特
Aurora奧蘿拉拉丁黎明女神	Aurora	拉丁黎明女神
Austin奥斯汀	Austin	tin奥斯汀
Aviva阿维娃(同Avivahc和Avivi)	Aviva阿维娃(同Avivahc和A	阿维娃(同Avivahc和Avivi)
Barbara芭芭拉希臘外地來的人，異鄉人；異族人。	Barbara	鄉人；異族人。
Barbara笆笆拉	Barbara	bara笆笆拉
Barbie芭比	Barbie	rbie芭比
Bblythe布萊茲英國無憂無慮的；快樂的。	Bblythe	慮的；快樂的。
Beata贝亚特	Beata	ta贝亚特
Beatrice碧翠絲拉丁為人祈福或使人快樂的女孩	Beatrice	或使人快樂的女孩
Beatrice比阿特丽斯(同Beatrix)	Beatrice比阿特丽斯(同Be	ce比阿特丽斯(同Beatrix)
Becky贝基(Rebecca的昵称)	Becky贝基(Rebecc	贝基(Rebecca的昵称)
Belinda貝琳達德國、義大利像條蛇。有聪明又長壽的人。	Belinda	明又長壽的人。
Bella貝拉拉丁美麗的	Bella	拉丁美麗的
Bella贝拉(Isabella的昵称)	Bella贝拉(Isabell	贝拉(Isabella的昵称)
Belle貝拉法國美麗的；上帝的誓約；聰明高貴。	Belle	聰明高貴。
Benjamin本杰明	Benjamin	jamin本杰明
Benson本森	Benson	nson本森
Ben本(所有Ben开头的英文名的昵称)	Ben本(所有B	的英文名的昵称)
Bernice柏妮絲希臘帶著勝利訊息來的人。	Bernice	利訊息來的人。
Bertha柏莎條頓聰明、美麗或燦爛的。	Bertha	麗或燦爛的。
Bert伯特	Bert	rt伯特
Beryl百麗兒希臘綠寶石，幸#092;。	Beryl百麗兒希臘	寶石，幸#092;。
Bess貝絲希伯來上帝是誓約。	Bess	是誓約。
Bess贝斯	Bess	ss贝斯
Betsy貝琪希伯來上帝是誓約。	Betsy	帝是誓約。
Bette贝蒂	Bette	tte贝蒂
Betty貝蒂希伯來上帝是誓約。	Betty	帝是誓約。
Betty贝蒂(Elizabeth的昵称)	Betty贝蒂(Elizabet	贝蒂(Elizabeth的昵称)
Beulah比尤萊希伯來已結婚的。	Beulah	來已結婚的。
Beverly貝芙麗英國	Beverly	ly貝芙麗英國
Billy比利	Billy	lly比利
Bill比尔	Bill	ll比尔
Blake布莱克	Blake	ke布莱克
Blanche布蘭琪條頓純潔無暇的；白種人的；白皙美麗的。	Blanche	；白皙美麗的。
Blanche布兰奇	Blanche	nche布兰奇
Bobby鲍比	Bobby	bby鲍比
Bob鲍伯	Bob	b鲍伯
Bonnie邦妮拉丁甜美、漂亮、優雅而善良的人。	Bonnie	而善良的人。
Bonnie邦妮	Bonnie	nnie邦妮
Brad布拉德	Brad	d布拉德
Brandon布兰登	Brandon	ndon布兰登
Brant布兰特	Brant	nt布兰特
Breenda布藍達蓋爾挑撥者；劍；黑髮	Breenda	撥者；劍；黑髮
Brenda布伦达(Brandon及Brendan的女性形式)	Brenda布伦达(Brandon及Bren	(Brandon及Brendan的女性形式)
Brent布伦特	Brent	nt布伦特
Brian/Bryan布赖恩	Brian/Bryan	an/Bryan布赖恩
Brianna布莱安娜	Brianna	nna布莱安娜
Bridget布麗姬特蓋爾或愛爾蘭強壯，力量	Bridget	爾蘭強壯，力量
Britney布兰妮	Britney	tney布兰妮
Brittany布列塔尼	Brittany	tany布列塔尼
Brook布魯克英國傍溪而居之人。	Brook	而居之人。
Brown布朗	Brown	own布朗
Bruce布鲁斯	Bruce	ce布鲁斯
Caleb迦勒	Caleb	leb迦勒
Cameron卡梅伦	Cameron	eron卡梅伦
Camille卡蜜拉拉丁好品性的高貴女子。	Camille	性的高貴女子。
Camille卡米尔	Camille	ille卡米尔
Candance坎蒂絲拉丁熱情，坦#092;，純潔的。	Candance坎蒂絲拉丁	情，坦#092;，純潔的。
Candice坎蒂絲拉丁熱情，坦#092;，純潔的。	Candice坎蒂絲拉丁	，坦#092;，純潔的。
Candice莰蒂丝	Candice	dice莰蒂丝
Candy坎蒂	Candy	ndy坎蒂
Cara卡拉義大利朋友；親愛的人。	Cara	愛的人。
Carina卡瑞娜	Carina	ina卡瑞娜
Carlos卡洛斯	Carlos	los卡洛斯
Carl卡尔	Carl	rl卡尔
Carmen卡门	Carmen	rmen卡门
Carol卡蘿法國歡唱，悅耳歡快的歌	Carol	耳歡快的歌
Caroline卡洛琳條頓驍勇、剛健和強壯的。	Caroline	、剛健和強壯的。
Caroline卡罗琳	Caroline	oline卡罗琳
Carol凯罗尔	Carol	ol凯罗尔
Carrie凯莉(Carol及Caroline的昵称,同Kerry)	Carrie凯莉(Carol及Caroline的昵称,	莉(Carol及Caroline的昵称,同Kerry)
Carry凯丽	Carry	rry凯丽
Cary凯里	Cary	ry凯里
Caspar卡斯帕	Caspar	par卡斯帕
Cassandra卡桑德拉	Cassandra	andra卡桑德拉
Cassie凯西(Catherine,Cassandra的昵称)	Cassie凯西(Catherine,Cassandr	e凯西(Catherine,Cassandra的昵称)
Catherine凱瑟琳希臘純潔的人。	Catherine	瑟琳希臘純潔的人。
Catherine凯瑟琳(Katherine的英文形式,同Katherine)	Catherine凯瑟琳(Katherine的英文形式,同K	凯瑟琳(Katherine的英文形式,同Katherine)
Cathy凱絲希臘純潔的人。	Cathy	純潔的人。
Cathy凯茜(Catherine的昵称,同Kathy)	Cathy凯茜(Catherine的昵称,同	茜(Catherine的昵称,同Kathy)
Cecilia塞西莉亞拉丁視力朦朧的人，失明的。	Cecilia	的人，失明的。
Cecil塞西	Cecil	cil塞西
Celeste莎莉絲特拉丁最幸福的人，天國的。	Celeste	的人，天國的。
Charlene沙琳(同Caroline,Charlotte)	Charlene沙琳(同Caroline,Charlot	rlene沙琳(同Caroline,Charlotte)
Charles查尔斯	Charles	rles查尔斯
Charlotte夏洛特法國身體強健女性化的。	Charlotte	身體強健女性化的。
Charlotte夏洛特	Charlotte	rlotte夏洛特
Chelsea切尔西	Chelsea	lsea切尔西
Cheney采尼	Cheney	eney采尼
Cherry綺莉法國仁慈，像櫻桃般紅潤的人。	Cherry	般紅潤的人。
Cherry切莉	Cherry	erry切莉
Cheryl綺麗兒法國珍愛的人，男子漢	Cheryl	的人，男子漢
Cheryl雪莉尔(Charlotte的另一形式,亦同Sheryl)	Cheryl雪莉尔(Charlotte的另一形式	Charlotte的另一形式,亦同Sheryl)
Chloe克洛怡希臘青春的，美麗的。	Chloe	，美麗的。
Chloe克洛伊	Chloe	oe克洛伊
Christian克里斯蒂安	Christian	tian克里斯蒂安
Christina克里斯蒂娜(同Christine)	Christina克里斯蒂娜(同Chri	ina克里斯蒂娜(同Christine)
Christine克莉絲汀希臘基督的追隨者，門徒。	Christine	督的追隨者，門徒。
Christine克里斯汀	Christine	stine克里斯汀
Christopher克里斯多夫	Christopher	topher克里斯多夫
Christy克里斯蒂(Christine的简写)	Christy克里斯蒂(Christ	克里斯蒂(Christine的简写)
Chris克莉丝(Christine,Kristine的简写,同Kris)	Chris克莉丝(Christine,Kristine的简写	丝(Christine,Kristine的简写,同Kris)
Chris克里斯(Christian,Christopher的昵称)	Chris克里斯(Christian,Christoph	里斯(Christian,Christopher的昵称)
Cindy辛迪(Cinderella,Cynthia,Lucinda的昵称)	Cindy辛迪(Cinderella,Cynthia,Lucind	辛迪(Cinderella,Cynthia,Lucinda的昵称)
Claire克萊兒拉丁燦爛的；明亮的；聰明的。	Claire	的；聰明的。
Claire/Clair克莱尔	Claire/Clair	ire/Clair克莱尔
Clara克萊拉拉丁明亮的；聰明的。	Clara	；聰明的。
Clark克拉克	Clark	rk克拉克
Claudia克劳迪娅	Claudia	dia克劳迪娅
Clementine克萊曼婷拉丁溫柔且仁慈的人。	Clementine	拉丁溫柔且仁慈的人。
Clement克莱门特	Clement	ent克莱门特
Cliff柯利弗	Cliff	ff柯利弗
Cloris克劳瑞丝	Cloris	is克劳瑞丝
Cody科迪	Cody	dy科迪
Cole科尔	Cole	le科尔
Colin科林	Colin	lin科林
Connie康妮(Constance的昵称)	Connie康妮(Constanc	e康妮(Constance的昵称)
Constance康斯坦絲拉丁堅定忠實的人。	Constance	拉丁堅定忠實的人。
Constance康斯坦斯	Constance	tance康斯坦斯
Cora柯拉希臘處女；少女。	Cora	；少女。
Coral卡洛兒希臘，法國珊瑚或贈品，彩石。	Coral	品，彩石。
Cora科拉	Cora	ra科拉
Cornelia可妮莉雅希臘山茱萸樹，號角。	Cornelia	山茱萸樹，號角。
Corrine科瑞恩	Corrine	rine科瑞恩
Cosmo科兹莫	Cosmo	mo科兹莫
Crystal克莉斯多希臘晶瑩的冰，透明的靈魂，沒有欺瞞。	Crystal	魂，沒有欺瞞。
Crystal科瑞斯特尔(同Krystal)	Crystal科瑞斯特尔(同Kr	l科瑞斯特尔(同Krystal)
Cynthia辛西亞希臘月亮女神黛安娜的稱號。	Cynthia	黛安娜的稱號。
Daisy黛西英國雛菊。	Daisy	英國雛菊。
Daisy戴茜	Daisy	isy戴茜
Dale黛兒英國居住在丘陵間之山谷中者。	Dale	谷中者。
Dana黛娜希伯來來自丹麥的人；神的母親；聰明且純潔的。	Dana	純潔的。
Daniel丹尼尔	Daniel	iel丹尼尔
Daphne黛芙妮希臘神話月桂樹；桂冠。	Daphne	桂樹；桂冠。
Daphne达芙妮	Daphne	hne达芙妮
Darcy达茜	Darcy	rcy达茜
Darlene達蓮娜英國溫柔可愛；體貼地愛	Darlene	可愛；體貼地愛
Darwin达尔文	Darwin	win达尔文
Dave戴夫(David的昵称)	Dave戴夫(Davi	夫(David的昵称)
David大卫	David	vid大卫
Dawn潼恩英國黎明，喚醒，振作。	Dawn	，振作。
Debbie黛比(Deborah,Debra的昵称)	Debbie黛比(Deborah,Debr	e黛比(Deborah,Debra的昵称)
Debby黛碧希伯來蜜蜂；蜂王。	Debby	蜂；蜂王。
Deborah黛博拉希伯來蜜蜂；蜂王。	Deborah	來蜜蜂；蜂王。
Deborah黛博拉	Deborah	orah黛博拉
Debra黛布拉	Debra	ra黛布拉
Deirdre迪得莉蓋爾憂愁的。	Deirdre	莉蓋爾憂愁的。
Delia迪麗雅希臘牧羊女	Delia	希臘牧羊女
Demi黛米	Demi	mi黛米
Denise丹尼絲希臘代表花。	Denise	希臘代表花。
Dennis丹尼斯	Dennis	nis丹尼斯
Denny丹尼	Denny	nny丹尼
Derek德里克	Derek	ek德里克
Diana黛安娜拉丁光亮如白畫；月亮女神	Diana	；月亮女神
Diana黛安娜	Diana	na黛安娜
Dick狄克	Dick	ck狄克
Dinah黛娜希伯來被評判的人，雅各的女兒。	Dinah	各的女兒。
Dolores多洛莉絲拉丁悲傷，痛苦或遺憾。	Dolores	，痛苦或遺憾。
Dolores德洛丽丝	Dolores	res德洛丽丝
Dominic多明尼卡拉丁屬於上帝的。	Dominic	丁屬於上帝的。
Donald唐纳德	Donald	ald唐纳德
Donna唐娜拉丁貴婦，淑女，夫人。	Donna	女，夫人。
Donna堂娜	Donna	nna堂娜
Dora多拉希臘神的贈禮。	Dora	的贈禮。
Dora多拉	Dora	ra多拉
Doreen多琳希臘神的贈禮。	Doreen	臘神的贈禮。
Doris多莉絲希臘來自大海的；海洋女神。	Doris	海洋女神。
Doris桃瑞丝	Doris	is桃瑞丝
Dorothy桃樂斯希臘上帝的贈禮。	Dorothy	臘上帝的贈禮。
Douglas道格拉斯	Douglas	las道格拉斯
Duke杜克	Duke	ke杜克
Dylan迪伦	Dylan	lan迪伦
Eartha爾莎英國土地或泥土；比喻像大地般堅忍的人。	Eartha	般堅忍的人。
Eddie埃迪	Eddie	die埃迪
Eden伊甸希伯來聖經中的樂園，歡樂之地。	Eden	樂之地。
Edgar埃德加	Edgar	ar埃德加
Edison爱迪生	Edison	son爱迪生
Edith伊蒂絲古英國格鬥；戰爭。	Edith	鬥；戰爭。
Editha伊迪萨	Editha	tha伊迪萨
Edith伊迪丝	Edith	th伊迪丝
Edmund艾德蒙	Edmund	und艾德蒙
Edward爱德华	Edward	ard爱德华
Edwina艾德文娜英國有價值的朋友；財產的獲得者。	Edwina	產的獲得者。
Edwin艾德文	Edwin	in艾德文
Eileen愛琳蓋爾光亮的，討人喜歡的。	Eileen	討人喜歡的。
Elaine伊蓮恩法國光亮的；年幼的小鹿。	Elaine	年幼的小鹿。
Elaine伊莱恩	Elaine	ine伊莱恩
Eleanore艾琳諾法國光亮的；多產的，肥沃的，有收穫的。	Eleanore	沃的，有收穫的。
Eleanor埃莉诺	Eleanor	anor埃莉诺
Elijah以利亚	Elijah	jah以利亚
Elizabeth伊莉莎白希伯來上帝的誓約。	Elizabeth	希伯來上帝的誓約。
Elizabeth伊丽莎白	Elizabeth	abeth伊丽莎白
Ella艾拉條頓火炬	Ella	條頓火炬
Ella埃拉	Ella	la埃拉
Ellen艾倫希臘、拉丁火把	Ellen	、拉丁火把
Ellen爱伦	Ellen	len爱伦
Ellie艾莉(Eleanor,Ellen的昵称)	Ellie艾莉(Eleanor,Elle	艾莉(Eleanor,Ellen的昵称)
Elliott艾略特	Elliott	iott艾略特
Elma艾爾瑪希臘富愛心的人，親切的。	Elma	親切的。
Elsa愛爾莎希臘#092;實的。	Elsa愛爾莎希臘	臘#092;實的。
Elsa埃尔莎(Elizabeth的昵称)	Elsa埃尔莎(Elizabe	莎(Elizabeth的昵称)
Elsie艾西希伯來，希臘上帝的誓約，#092;實的。	Elsie艾西希伯來	約，#092;實的。
Elva艾娃斯堪的那維亞神奇且聪明的。	Elva	聪明的。
Elvira艾薇拉拉丁小精靈，白種人的。	Elvira	，白種人的。
Elvis埃尔维斯	Elvis	s埃尔维斯
Emerald艾米瑞达	Emerald	ald艾米瑞达
Emily艾蜜莉條頓，拉丁勤勉奮發的；有一口響亮圓潤的嗓音之人；拍馬屁的人。	Emily	馬屁的人。
Emily艾米丽	Emily	ly艾米丽
Emma艾瑪條頓祖先。	Emma	頓祖先。
Emma艾玛	Emma	ma艾玛
Enid伊妮德塞爾特人純潔得毫無瑕庛。	Enid	無瑕庛。
Enid伊妮德	Enid	d伊妮德
Enterprise企业英语培训	Enterprise	rise企业英语培训
Erica艾麗卡條頓有權力的；帝王的；統治者。	Erica	；統治者。
Erica埃莉卡(Eric的女性形式)	Erica埃莉卡(Er	(Eric的女性形式)
Eric埃里克(Frederick的昵称)	Eric埃里克(Frederi	克(Frederick的昵称)
Erin艾琳蓋爾鑲在海中是的翡翠；和平，安寧之源。	Erin	寧之源。
Estelle爱斯特尔	Estelle	lle爱斯特尔
Esther艾絲特希伯來星星	Esther	特希伯來星星
Esther爱丝特	Esther	her爱丝特
Ethan伊桑	Ethan	han伊桑
Ethel艾瑟兒英國尊貴的；出身高貴的。	Ethel	身高貴的。
Eudora尤朵拉希臘可愛的贈禮，美好的、愉快的。	Eudora	的、愉快的。
Eudora尤杜拉	Eudora	ora尤杜拉
Eugene柳真	Eugene	gene柳真
Eunice尤妮絲希臘快樂的勝利。	Eunice	快樂的勝利。
Evangeline伊文捷琳希臘福音的信差，福音；天使	Evangeline	音的信差，福音；天使
Evan埃文	Evan	an埃文
Eva伊娃	Eva	a伊娃
Eve伊芙希伯來生命；賦予生命者生靈之母	Eve	靈之母
Evelyn伊芙琳塞爾特生命；易相處的人；令人愉快的人。	Evelyn	人愉快的人。
Evelyn伊夫林	Evelyn	lyn伊夫林
Eve伊芙	Eve	e伊芙
Faithe費滋拉丁忠實可信的人。	Faithe	實可信的人。
Fannie芬妮(同Frances,Fanny)	Fannie芬妮(同Frances,Fan	nie芬妮(同Frances,Fanny)
Fanny梵妮法國自由之人。	Fanny	自由之人。
Fay費怡法國忠貞或忠#092;；小仙女。	Fay費怡法國忠	92;；小仙女。
Fay费怡	Fay	y费怡
Fiona菲奥纳	Fiona	na菲奥纳
Flora弗羅拉拉丁花；花之神	Flora	花；花之神
Flora福罗拉	Flora	ra福罗拉
Florence弗羅倫絲塞爾特開花的或美麗的。	Florence	開花的或美麗的。
Florence弗罗伦丝	Florence	ence弗罗伦丝
Flta上海英语外教	Flta	英语外教
Ford福特	Ford	rd福特
Frances法蘭西斯法國自由之人，無拘束的人。	Frances	，無拘束的人。
Frances弗郎西丝(Francis的女性形式)	Frances弗郎西丝(Fran	西丝(Francis的女性形式)
Francis弗兰克思	Francis	cis弗兰克思
Franklin富兰克林	Franklin	klin富兰克林
Frank弗兰克(Francis,Franklin的昵称)	Frank弗兰克(Francis,Frankl	兰克(Francis,Franklin的昵称)
Freda弗莉達德國和平；領導者。	Freda	；領導者。
Frederica菲蕾德翠卡條頓和平的領導者。	Frederica	條頓和平的領導者。
Frederica弗雷德里卡	Frederica	rica弗雷德里卡
Fred弗瑞德	Fred	d弗瑞德
Frieda弗里达	Frieda	eda弗里达
Gabrielle嘉比里拉希伯來上帝就是力量。	Gabrielle	伯來上帝就是力量。
Gabriel加百利	Gabriel	riel加百利
Gaby加比(Gabriel的昵称)	Gaby加比(Gabrie	比(Gabriel的昵称)
Gail蓋爾英國快樂的；唱歌；峽谷	Gail	歌；峽谷
Garfield加菲尔德	Garfield	ield加菲尔德
Gary加里	Gary	ry加里
Gavin加文	Gavin	vin加文
Gemma姬瑪義大利寶石	Gemma	義大利寶石
Genevieve珍妮芙古威爾斯金髮碧眼的人；白種人。	Genevieve	碧眼的人；白種人。
Geoffrey杰弗里	Geoffrey	ffrey杰弗里
George乔治	George	orge乔治
Georgia喬治亞希臘農夫。	Georgia	治亞希臘農夫。
Geraldine嬌拉汀德國強而有力的長矛。	Geraldine	國強而有力的長矛。
Gill姬兒拉丁少女。	Gill	丁少女。
Gillian吉莉安(Juliana的异体)	Gillian吉莉安(Julia	n吉莉安(Juliana的异体)
Gina吉娜(Angelina,Regina的昵称)	Gina吉娜(Angelina,Regin	娜(Angelina,Regina的昵称)
Gino基诺	Gino	no基诺
Giselle吉榭爾條頓一把劍	Giselle	榭爾條頓一把劍
Gladys葛萊蒂絲威爾斯公主。	Gladys	威爾斯公主。
Gladys格拉蒂丝(Claudia的威尔斯形式)	Gladys格拉蒂丝(Clau	(Claudia的威尔斯形式)
Glendon格林顿	Glendon	ndon格林顿
Glen格林	Glen	en格林
Gloria葛羅瑞亞拉丁榮耀者，光榮者。	Gloria	者，光榮者。
Gloria格罗瑞娅	Gloria	ia格罗瑞娅
Grace葛瑞絲英國，法國，拉丁優雅的。	Grace	丁優雅的。
Grace格瑞丝	Grace	ce格瑞丝
Greta格瑞塔(Margaret的昵称)	Greta格瑞塔(Margar	瑞塔(Margaret的昵称)
Griselda葛莉謝爾達德國指對丈夫極順從和忍耐的女人。	Griselda	從和忍耐的女人。
Gustave葛佳絲塔芙德國，瑞典戰爭。	Gustave	國，瑞典戰爭。
Gwendolyn關德琳塞爾特白色眉毛的。	Gwendolyn	塞爾特白色眉毛的。
Gwendolyn格温多琳	Gwendolyn	dolyn格温多琳
Haley海莉	Haley	ley海莉
Hank汉克	Hank	nk汉克
Hannah漢娜希伯來優雅的。	Hannah	伯來優雅的。
Hannah汉娜	Hannah	nnah汉娜
Hardy哈帝	Hardy	rdy哈帝
Harriet哈莉特法國家庭主婦	Harriet	特法國家庭主婦
Harrison哈里森	Harrison	rison哈里森
Harry哈利	Harry	rry哈利
Hayden海顿	Hayden	yden海顿
Hazel海柔爾英國領袖，指揮官。	Hazel	，指揮官。
Heather赫瑟爾英國開花的石楠。	Heather	國開花的石楠。
Hebe赫柏	Hebe	be赫柏
Hedda赫達德國鬥爭或戰鬥。	Hedda	爭或戰鬥。
Hedy赫蒂希臘甜蜜，又令人欣賞的。	Hedy	欣賞的。
Heidi海蒂(Adalheid,Adelaide的昵称)	Heidi海蒂(Adalheid,Adelaid	海蒂(Adalheid,Adelaide的昵称)
Helen海倫希臘，拉丁火把；光亮的。	Helen	；光亮的。
Helena海伦娜	Helena	ena海伦娜
Hellen海伦(亦作:Helen)	Hellen海伦(亦作:He	en海伦(亦作:Helen)
Heloise海洛伊絲法國健全的；在戰場上很出名。	Heloise	戰場上很出名。
Henna汉纳	Henna	nna汉纳
Henry亨利	Henry	nry亨利
Hermosa何蒙莎西班牙美麗。	Hermosa	莎西班牙美麗。
Hilary希拉瑞莉拉丁快樂的。	Hilary	拉丁快樂的。
Hilda希爾達條頓戰鬥；女戰士	Hilda	鬥；女戰士
Hillary希拉里/希拉蕊/希拉莉	Hillary希拉	里/希拉蕊/希拉莉
Hilton希尔顿	Hilton	ton希尔顿
Honey漢妮英國親愛的人。	Honey	親愛的人。
Howard霍华德	Howard	ard霍华德
Hugo雨果	Hugo	go雨果
Hulda胡爾達條頓優雅，被大眾深深喜愛的。	Hulda	深喜愛的。
Hunk汉克	Hunk	nk汉克
Ian伊恩	Ian	n伊恩
Ida艾達德國快樂的，勤奮的，富有的	Ida	富有的
Ignativs伊格纳缇伍兹(其变形为Ignace伊格纳茨,Ignatz伊格纳兹)	Ignativs伊格纳缇伍兹(其变形为Igna	为Ignace伊格纳茨,Ignatz伊格纳兹)
Ina艾娜拉丁母親。	Ina	母親。
Ingrid英格麗斯堪的那維亞女兒；可愛的人。	Ingrid	；可愛的人。
Ingrid英格丽德	Ingrid	id英格丽德
Irene艾琳法國，拉丁和平；和平女神。	Irene	和平女神。
Irene艾琳	Irene	ene艾琳
Iris愛莉絲拉丁彩虹女神；鳶尾花。	Iris	鳶尾花。
Iris艾丽丝	Iris	s艾丽丝
Irma艾爾瑪拉丁，條頓地位很高的；高貴的	Irma	；高貴的
Isaac艾萨克	Isaac	ac艾萨克
Isabel伊莎蓓爾希伯來上帝的誓約。	Isabel	上帝的誓約。
Isabella伊莎贝拉	Isabella	ella伊莎贝拉
Isaiah以赛亚/艾塞亚	Isaiah以	以赛亚/艾塞亚
Ishara爱沙拉	Ishara	ara爱沙拉
Ivan伊凡	Ivan	an伊凡
Ivy艾薇希臘希臘傳說中的神聖食物。	Ivy	食物。
Ivy艾维	Ivy	y艾维
Jackson杰克逊	Jackson	kson杰克逊
Jack杰克	Jack	ck杰克
Jacob雅各布	Jacob	ob雅各布
Jacqueline賈桂琳法國願上帝保護。	Jacqueline	桂琳法國願上帝保護。
Jacqueline杰奎琳	Jacqueline	queline杰奎琳
Jade小玉	Jade	de小玉
James詹姆士(Jacob的英文形式)	James詹姆士(Jac	(Jacob的英文形式)
Jamie婕咪拉丁取而代之者。	Jamie	而代之者。
Jamie詹米(James的女性形式)	Jamie詹米(Jame	(James的女性形式)
Jane珍希伯來，法國上帝是慈悲的；少女。	Jane	；少女。
Janet珍妮特希伯來，法國少女，上帝的恩賜	Janet	上帝的恩賜
Janet珍妮特(同Jane)	Janet珍妮特(同J	t珍妮特(同Jane)
